2017-03-14 11:22:40 install libattr1:amd64 <none> 1:2.4.47-2
2017-03-14 11:22:40 status half-installed libattr1:amd64 1:2.4.47-2
2017-03-14 11:22:40 status unpacked libattr1:amd64 1:2.4.47-2
2017-03-14 11:22:40 status unpacked libattr1:amd64 1:2.4.47-2
2017-03-14 11:22:40 install libacl1:amd64 <none> 2.2.52-2
2017-03-14 11:22:40 status half-installed libacl1:amd64 2.2.52-2
2017-03-14 11:22:40 status unpacked libacl1:amd64 2.2.52-2
2017-03-14 11:22:40 status unpacked libacl1:amd64 2.2.52-2
2017-03-14 11:22:40 install acl:amd64 <none> 2.2.52-2
2017-03-14 11:22:40 status half-installed acl:amd64 2.2.52-2
2017-03-14 11:22:41 status unpacked acl:amd64 2.2.52-2
2017-03-14 11:22:41 status unpacked acl:amd64 2.2.52-2
2017-03-14 11:22:41 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2017-03-14 11:22:41 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2017-03-14 11:22:41 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-03-14 11:22:41 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-03-14 11:22:41 install liblzma5:amd64 <none> 5.1.1alpha+20120614-2+b3
2017-03-14 11:22:41 status half-installed liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-14 11:22:41 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-14 11:22:41 status unpacked liblzma5:amd64 5.1.1alpha+20120614-2+b3
2017-03-14 11:22:41 install libpcre3:amd64 <none> 2:8.35-3.3+deb8u4
2017-03-14 11:22:41 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-14 11:22:41 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-14 11:22:41 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-03-14 11:22:41 upgrade dpkg:amd64 1.17.27 1.17.27
2017-03-14 11:22:41 status half-configured dpkg:amd64 1.17.27
2017-03-14 11:22:41 status unpacked dpkg:amd64 1.17.27
2017-03-14 11:22:41 status half-installed dpkg:amd64 1.17.27
2017-03-14 11:22:41 status half-installed dpkg:amd64 1.17.27
2017-03-14 11:22:41 status unpacked dpkg:amd64 1.17.27
2017-03-14 11:22:41 status unpacked dpkg:amd64 1.17.27
2017-03-14 11:22:41 install libaudit-common:all <none> 1:2.4-1
2017-03-14 11:22:41 status half-installed libaudit-common:all 1:2.4-1
2017-03-14 11:22:41 status unpacked libaudit-common:all 1:2.4-1
2017-03-14 11:22:41 status unpacked libaudit-common:all 1:2.4-1
2017-03-14 11:22:41 install libaudit1:amd64 <none> 1:2.4-1+b1
2017-03-14 11:22:41 status half-installed libaudit1:amd64 1:2.4-1+b1
2017-03-14 11:22:41 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-03-14 11:22:41 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-03-14 11:22:41 upgrade debconf:all 1.5.56 1.5.56
2017-03-14 11:22:41 status half-configured debconf:all 1.5.56
2017-03-14 11:22:41 status unpacked debconf:all 1.5.56
2017-03-14 11:22:41 status half-installed debconf:all 1.5.56
2017-03-14 11:22:41 status half-installed debconf:all 1.5.56
2017-03-14 11:22:41 status unpacked debconf:all 1.5.56
2017-03-14 11:22:41 status unpacked debconf:all 1.5.56
2017-03-14 11:22:41 install libpam0g:amd64 <none> 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status half-installed libpam0g:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam0g:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 install libdb5.3:amd64 <none> 5.3.28-9
2017-03-14 11:22:41 status half-installed libdb5.3:amd64 5.3.28-9
2017-03-14 11:22:41 status unpacked libdb5.3:amd64 5.3.28-9
2017-03-14 11:22:41 status unpacked libdb5.3:amd64 5.3.28-9
2017-03-14 11:22:41 install libpam-modules-bin:amd64 <none> 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status half-installed libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam-modules-bin:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 install libpam-modules:amd64 <none> 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status half-installed libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 status unpacked libpam-modules:amd64 1.1.8-3.1+deb8u2
2017-03-14 11:22:41 install debianutils:amd64 <none> 4.4+b1
2017-03-14 11:22:41 status half-installed debianutils:amd64 4.4+b1
2017-03-14 11:22:41 status unpacked debianutils:amd64 4.4+b1
2017-03-14 11:22:41 status unpacked debianutils:amd64 4.4+b1
2017-03-14 11:22:41 install adduser:all <none> 3.113+nmu3
2017-03-14 11:22:41 status half-installed adduser:all 3.113+nmu3
2017-03-14 11:22:42 status unpacked adduser:all 3.113+nmu3
2017-03-14 11:22:42 status unpacked adduser:all 3.113+nmu3
2017-03-14 11:22:42 install liblocale-gettext-perl:amd64 <none> 1.05-8+b1
2017-03-14 11:22:42 status half-installed liblocale-gettext-perl:amd64 1.05-8+b1
2017-03-14 11:22:42 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-03-14 11:22:42 status unpacked liblocale-gettext-perl:amd64 1.05-8+b1
2017-03-14 11:22:42 install debconf-i18n:all <none> 1.5.56
2017-03-14 11:22:42 status half-installed debconf-i18n:all 1.5.56
2017-03-14 11:22:42 status unpacked debconf-i18n:all 1.5.56
2017-03-14 11:22:42 status unpacked debconf-i18n:all 1.5.56
2017-03-14 11:22:42 upgrade base-files:amd64 8+deb8u7 8+deb8u7
2017-03-14 11:22:42 status half-configured base-files:amd64 8+deb8u7
2017-03-14 11:22:42 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:42 status half-installed base-files:amd64 8+deb8u7
2017-03-14 11:22:42 status half-installed base-files:amd64 8+deb8u7
2017-03-14 11:22:42 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:42 status unpacked base-files:amd64 8+deb8u7
2017-03-14 11:22:42 install libdebconfclient0:amd64 <none> 0.192
2017-03-14 11:22:42 status half-installed libdebconfclient0:amd64 0.192
2017-03-14 11:22:42 status unpacked libdebconfclient0:amd64 0.192
2017-03-14 11:22:42 status unpacked libdebconfclient0:amd64 0.192
2017-03-14 11:22:42 upgrade base-passwd:amd64 3.5.37 3.5.37
2017-03-14 11:22:42 status half-configured base-passwd:amd64 3.5.37
2017-03-14 11:22:42 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:42 status half-installed base-passwd:amd64 3.5.37
2017-03-14 11:22:42 status half-installed base-passwd:amd64 3.5.37
2017-03-14 11:22:42 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:42 status unpacked base-passwd:amd64 3.5.37
2017-03-14 11:22:42 install dash:amd64 <none> 0.5.7-4+b1
2017-03-14 11:22:42 status half-installed dash:amd64 0.5.7-4+b1
2017-03-14 11:22:42 status unpacked dash:amd64 0.5.7-4+b1
2017-03-14 11:22:42 status unpacked dash:amd64 0.5.7-4+b1
2017-03-14 11:22:42 install libncurses5:amd64 <none> 5.9+20140913-1+b1
2017-03-14 11:22:42 status half-installed libncurses5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:42 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:42 status unpacked libncurses5:amd64 5.9+20140913-1+b1
2017-03-14 11:22:42 install bash:amd64 <none> 4.3-11+deb8u1
2017-03-14 11:22:42 status half-installed bash:amd64 4.3-11+deb8u1
2017-03-14 11:22:42 status unpacked bash:amd64 4.3-11+deb8u1
2017-03-14 11:22:42 status unpacked bash:amd64 4.3-11+deb8u1
2017-03-14 11:22:42 install libgpg-error0:amd64 <none> 1.17-3
2017-03-14 11:22:42 status half-installed libgpg-error0:amd64 1.17-3
2017-03-14 11:22:42 status unpacked libgpg-error0:amd64 1.17-3
2017-03-14 11:22:42 status unpacked libgpg-error0:amd64 1.17-3
2017-03-14 11:22:42 install libgcrypt20:amd64 <none> 1.6.3-2+deb8u2
2017-03-14 11:22:42 status half-installed libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-14 11:22:42 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-14 11:22:42 status unpacked libgcrypt20:amd64 1.6.3-2+deb8u2
2017-03-14 11:22:42 install bsdutils:amd64 <none> 1:2.25.2-6
2017-03-14 11:22:42 status half-installed bsdutils:amd64 1:2.25.2-6
2017-03-14 11:22:42 status unpacked bsdutils:amd64 1:2.25.2-6
2017-03-14 11:22:42 status unpacked bsdutils:amd64 1:2.25.2-6
2017-03-14 11:22:42 install coreutils:amd64 <none> 8.23-4
2017-03-14 11:22:42 status half-installed coreutils:amd64 8.23-4
2017-03-14 11:22:43 status unpacked coreutils:amd64 8.23-4
2017-03-14 11:22:43 status unpacked coreutils:amd64 8.23-4
2017-03-14 11:22:43 install diffutils:amd64 <none> 1:3.3-1+b1
2017-03-14 11:22:43 status half-installed diffutils:amd64 1:3.3-1+b1
2017-03-14 11:22:43 status unpacked diffutils:amd64 1:3.3-1+b1
2017-03-14 11:22:43 status unpacked diffutils:amd64 1:3.3-1+b1
2017-03-14 11:22:43 install libdevmapper1.02.1:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status half-installed libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status unpacked libdevmapper1.02.1:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 install libblkid1:amd64 <none> 2.25.2-6
2017-03-14 11:22:43 status half-installed libblkid1:amd64 2.25.2-6
2017-03-14 11:22:43 status unpacked libblkid1:amd64 2.25.2-6
2017-03-14 11:22:43 status unpacked libblkid1:amd64 2.25.2-6
2017-03-14 11:22:43 install libmount1:amd64 <none> 2.25.2-6
2017-03-14 11:22:43 status half-installed libmount1:amd64 2.25.2-6
2017-03-14 11:22:43 status unpacked libmount1:amd64 2.25.2-6
2017-03-14 11:22:43 status unpacked libmount1:amd64 2.25.2-6
2017-03-14 11:22:43 install insserv:amd64 <none> 1.14.0-5
2017-03-14 11:22:43 status half-installed insserv:amd64 1.14.0-5
2017-03-14 11:22:43 status unpacked insserv:amd64 1.14.0-5
2017-03-14 11:22:43 status unpacked insserv:amd64 1.14.0-5
2017-03-14 11:22:43 install initscripts:amd64 <none> 2.88dsf-59
2017-03-14 11:22:43 status half-installed initscripts:amd64 2.88dsf-59
2017-03-14 11:22:43 status unpacked initscripts:amd64 2.88dsf-59
2017-03-14 11:22:43 status unpacked initscripts:amd64 2.88dsf-59
2017-03-14 11:22:43 install dmsetup:amd64 <none> 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status half-installed dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 status unpacked dmsetup:amd64 2:1.02.90-2.2+deb8u1
2017-03-14 11:22:43 install e2fslibs:amd64 <none> 1.42.12-2+b1
2017-03-14 11:22:43 status half-installed e2fslibs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked e2fslibs:amd64 1.42.12-2+b1
2017-03-14 11:22:43 install libcomerr2:amd64 <none> 1.42.12-2+b1
2017-03-14 11:22:43 status half-installed libcomerr2:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked libcomerr2:amd64 1.42.12-2+b1
2017-03-14 11:22:43 status unpacked libcomerr2:amd64 1.42.12-2+b1
